country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,Kherson,75,26381,1336714,152,56182,217365,-161184,10357,27999,9637,17087,5655,20597,23193,81587,30103,1943,24678,62890,27139,10089,1985,10967,5354,13107,7117,2225,9145,120725,137399,687393
Ukraine,Khmel'nyts'kyy,0,2073978,16937718,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Khmel'nyts'kyy,10,382879,16766746,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Khmel'nyts'kyy,15,364777,16530729,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Khmel'nyts'kyy,20,352665,16380717,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Khmel'nyts'kyy,25,344585,16278875,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Khmel'nyts'kyy,30,331410,16104770,220,534247,2674622,-2140376,244254,280799,354159,445919,365841,400032,479615,458304,502742,495340,492152,533971,377472,466016,476847,1027796,1256015,824202,495179,587255,553896,487285,585424,631407
Ukraine,Khmel'nyts'kyy,50,294209,15511387,249,527653,2379008,-1851354,243455,279276,352693,444127,364890,399069,476465,456937,501286,493948,489750,530721,375323,462715,472335,1009609,1239040,811265,488926,566201,543249,469083,575719,617600
Ukraine,Khmel'nyts'kyy,75,243333,13716789,277,486099,1984035,-1497935,232112,264696,335953,421492,349418,379583,450023,438714,483248,475189,468288,506643,344061,431520,437062,897685,1069811,694514,451281,507650,497424,424065,537655,568317
Ukraine,Kiev,0,2810679,41886436,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
