country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,Cherkasy,Katerynopil's'kyi,30,7014,307911,126,9643,58330,-48687,1329,1137,904,993,1944,2239,3502,6504,6378,3391,12866,5305,7756,6983,6392,4630,10898,45142,4447,7399,23412,13192,20796,33907
Ukraine,Cherkasy,Katerynopil's'kyi,50,5816,288746,141,9513,48406,-38893,1329,1106,904,971,1944,2226,3485,6504,6378,3391,12866,5164,7689,6957,6191,4588,10638,44207,4430,7231,22580,13026,20683,33815
Ukraine,Cherkasy,Katerynopil's'kyi,75,3801,211594,155,7529,32232,-24703,1122,752,678,836,1699,1905,3164,5878,5761,3188,12703,4815,7556,6389,5217,4391,8521,25250,3493,6050,19672,10722,17240,23692
Ukraine,Cherkasy,Khrystynivs'kyi,0,59617,264067,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Khrystynivs'kyi,10,8042,253468,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Khrystynivs'kyi,15,7521,247440,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Khrystynivs'kyi,20,7176,243323,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Khrystynivs'kyi,25,6845,239508,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Khrystynivs'kyi,30,6218,232458,77,3707,53352,-49644,2000,1462,1122,3067,1772,947,369,1197,18050,6242,5150,2170,8096,8163,3138,4106,5739,2808,2289,2172,3093,3122,328,2378
Ukraine,Cherkasy,Khrystynivs'kyi,50,4895,212065,87,3586,42191,-38606,1911,1440,1097,3041,1766,932,369,1197,17879,6242,5083,2153,8047,8013,3128,4047,4966,2250,2218,1944,2998,2733,295,2296
Ukraine,Cherkasy,Khrystynivs'kyi,75,2561,127800,99,2558,23059,-20501,1067,1189,531,2425,1313,512,330,1110,12920,5662,4190,1921,5510,5741,1761,2853,2429,964,1546,1346,2230,1694,247,1898
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,0,89427,1316772,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,10,29474,1313383,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,15,28340,1300228,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,20,27560,1291249,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,25,26639,1281209,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,30,25751,1270676,90,28446,189278,-160832,9146,8820,10807,8365,11782,10683,11529,23381,23199,27941,26274,23240,28495,31706,47653,60166,49998,51512,35111,38214,73387,30152,17047,24088
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,50,23300,1233884,102,27945,172688,-144743,8665,8349,10478,8286,11027,10660,11193,22881,22895,27763,25921,23035,28133,31318,46190,59215,48659,50913,34646,37542,72605,29581,16784,23935
Ukraine,Cherkasy,Korsun'-Shevchenkivs'kyi,75,18064,1031730,116,22918,137371,-114453,5056,4507,6816,5393,5282,8545,7247,15513,17637,23054,22494,20270,22258,24165,37769,50269,42936,40264,29092,32634,66249,26879,14640,21066
Ukraine,Cherkasy,Lysians'kyi,0,73050,541889,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Lysians'kyi,10,15125,538119,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Lysians'kyi,15,14327,528946,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Lysians'kyi,20,13641,521010,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Lysians'kyi,25,13060,514530,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Lysians'kyi,30,12396,506715,107,12232,105073,-92841,2227,4976,5927,10506,5374,7521,4634,3908,5401,8172,9301,5139,5097,9385,12160,15931,21450,24045,13616,22136,30024,23149,21187,22298
Ukraine,Cherkasy,Lysians'kyi,50,10778,482338,121,12048,91737,-79689,2217,4900,5854,10469,5343,7462,4607,3876,5395,8159,9171,5129,5066,9342,12113,15692,20812,23642,13508,21537,28881,22768,21011,22196
Ukraine,Cherkasy,Lysians'kyi,75,8031,395876,137,11166,69822,-58656,2091,3588,2942,9551,5189,7238,4339,3799,5155,7890,8480,4852,4972,8985,11409,14641,19140,21821,12906,19843,26490,21252,19892,21528
Ukraine,Cherkasy,Man'kivs'kyi,0,75236,384386,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Man'kivs'kyi,10,11337,376969,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Man'kivs'kyi,15,10711,369594,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Man'kivs'kyi,20,10254,364255,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Man'kivs'kyi,25,9765,358744,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
