Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),World Share
United Arab Emirates,"83,600","32,278","83,600","32,278",0.06%
French Guiana,"83,534","32,253","82,200","31,738",0.06%
Czechia,"78,865","30,450","77,240","29,823",0.05%
Panama,"75,417","29,119","74,340","28,703",0.05%
Sierra Leone,"71,740","27,699","72,180","27,869",0.05%
Ireland,"70,273","27,133","68,890","26,599",0.05%
Georgia,"69,700","26,911","69,490","26,830",0.05%
Sri Lanka,"65,610","25,332","62,710","24,212",0.04%
Lithuania,"65,300","25,212","62,674","24,199",0.04%
Latvia,"64,559","24,926","62,200","24,016",0.04%
Togo,"56,785","21,925","54,390","21,000",0.04%
Croatia,"56,594","21,851","55,960","21,606",0.04%
Bosnia and Herzegovina,"51,209","19,772","51,000","19,691",0.03%
Costa Rica,"51,100","19,730","51,060","19,714",0.03%
Slovakia,"49,037","18,933","48,088","18,567",0.03%
Dominican Republic,"48,671","18,792","48,320","18,656",0.03%
Estonia,"45,227","17,462","42,390","16,367",0.03%
Denmark,"43,094","16,639","42,430","16,382",0.03%
Netherlands,"41,850","16,158","33,720","13,019",0.02%
Switzerland,"41,284","15,940","39,516","15,257",0.03%
Bhutan,"38,394","14,824","38,117","14,717",0.03%
Taiwan,"36,193","13,974","35,410","13,672",0.02%
Guinea-Bissau,"36,125","13,948","28,120","10,857",0.02%
Moldova,"33,846","13,068","32,850","12,683",0.02%
Belgium,"30,528","11,787","30,280","11,691",0.02%
Lesotho,"30,355","11,720","30,360","11,722",0.02%
Armenia,"29,743","11,484","28,470","10,992",0.02%
Solomon Islands,"28,896","11,157","27,990","10,807",0.02%
Albania,"28,748","11,100","27,400","10,579",0.02%
Equatorial Guinea,"28,051","10,831","28,050","10,830",0.02%
Burundi,"27,834","10,747","25,680","9,915",0.02%
Haiti,"27,750","10,714","27,560","10,641",0.02%
Rwanda,"26,338","10,169","24,670","9,525",0.02%
Republic of North Macedonia,"25,713","9,928","25,220","9,737",0.02%
Djibouti,"23,200","8,958","23,180","8,950",0.02%
Belize,"22,966","8,867","22,810","8,807",0.02%
El Salvador,"21,041","8,124","20,720","8,000",0.01%
Israel,"20,770","8,019","21,640","8,355",0.02%
Slovenia,"20,273","7,827","20,140","7,776",0.01%
New Caledonia,"18,575","7,172","18,280","7,058",0.01%
Fiji,"18,272","7,055","18,270","7,054",0.01%
Kuwait,"17,818","6,880","17,820","6,880",0.01%
Eswatini,"17,364","6,704","17,200","6,641",0.01%
Timor-Leste,"14,874","5,743","14,870","5,741",0.01%
Bahamas,"13,943","5,383","10,010","3,865",0.01%
Montenegro,"13,812","5,333","13,450","5,193",0.01%
Vanuatu,"12,189","4,706","12,190","4,707",0.01%
Falkland Islands,"12,173","4,700","12,170","4,699",0.01%
Qatar,"11,586","4,473","11,610","4,483",0.01%
Jamaica,"10,991","4,244","10,830","4,181",0.01%
Gambia,"10,689","4,127","10,120","3,907",0.01%
Lebanon,"10,452","4,036","10,230","3,950",0.01%
Cyprus,"9,251","3,572","9,240","3,568",0.01%
Puerto Rico,"8,870","3,425","8,870","3,425",0.01%
State of Palestine,"6,220","2,402","6,020","2,324",0.00%
Brunei Darussalam,"5,765","2,226","5,270","2,035",0.00%
Trinidad and Tobago,"5,130","1,981","5,130","1,981",0.00%
French Polynesia,"4,167","1,609","3,660","1,413",0.00%
Cabo Verde,"4,033","1,557","4,030","1,556",0.00%
Samoa,"2,842","1,097","2,830","1,093",0.00%
Luxembourg,"2,586",998,"2,590","1,000",0.00%
Réunion,"2,511",970,"2,500",965,0.00%
Mauritius,"2,040",788,"2,030",784,0.00%
Comoros,"1,862",719,"1,861",719,0.00%
Guadeloupe,"1,628",629,"1,690",653,0.00%
Faeroe Islands,"1,393",538,"1,396",539,0.00%
Martinique,"1,128",436,"1,060",409,0.00%
"China, Hong Kong SAR","1,104",426,"1,050",405,0.00%
Sao Tome and Principe,964,372,960,371,0.00%
Turks and Caicos Islands,948,366,950,367,0.00%
Kiribati,811,313,810,313,0.00%
Bahrain,765,295,760,293,0.00%
Dominica,751,290,750,290,0.00%
Tonga,747,288,720,278,0.00%
Singapore,710,274,700,270,0.00%
Micronesia,702,271,700,270,0.00%
Saint Lucia,616,238,610,236,0.00%
Isle of Man,572,221,570,220,0.00%
Guam,549,212,540,208,0.00%
Andorra,468,181,470,181,0.00%
Northern Mariana Islands,464,179,460,178,0.00%
Palau,459,177,460,178,0.00%
Seychelles,452,175,460,178,0.00%
Curaçao,444,171,444,171,0.00%
Antigua and Barbuda,442,171,440,170,0.00%
Barbados,430,166,430,166,0.00%
Saint Helena,394,152,390,151,0.00%
Saint Vincent and the Grenadines,389,150,390,151,0.00%
Mayotte,374,144,375,145,0.00%
United States Virgin Islands,347,134,350,135,0.00%
Grenada,344,133,340,131,0.00%
Caribbean Netherlands,328,127,328,127,0.00%
Malta,316,122,320,124,0.00%
Maldives,300,116,300,116,0.00%
Cayman Islands,264,102,240,93,0.00%
Saint Kitts and Nevis,261,101,260,100,0.00%
Niue,260,100,260,100,0.00%
Saint Pierre and Miquelon,242,93,230,89,0.00%
Cook Islands,236,91,240,93,0.00%
American Samoa,199,77,200,77,0.00%
Marshall Islands,181,70,180,69,0.00%
Aruba,180,69,180,69,0.00%
Liechtenstein,160,62,160,62,0.00%
British Virgin Islands,151,58,150,58,0.00%
Wallis and Futuna Islands,142,55,140,54,0.00%
Montserrat,102,39,100,39,0.00%
Anguilla,91,35,90,35,0.00%
San Marino,61,24,60,23,0.00%
Bermuda,54,21,50,19,0.00%
Saint Martin,53,20,53,20,0.00%
Sint Maarten,34,13,34,13,0.00%
"China, Macao SAR",30,12,30,12,0.00%
Tuvalu,26,10,30,12,0.00%
Nauru,21,8,20,8,0.00%
Saint Barthélemy,21,8,21,8,0.00%
Tokelau,12,5,10,4,0.00%
Gibraltar,6,2,10,4,0.00%
Monaco,2,1,1,1,0.00%
Holy See,0,0,0,0,0.00%
